source_id,company_id,organization_name,source_type,document_title,publication_year,external_id,file_name,url,validation_method,content_hash,validated,note
SRC-0001,005930,삼성전자,company_report,Samsung Electronics Sustainability Report 2024 (DS section),2024,,Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,official_domain,7d1ebb916e76a93d4f9e8d3aed363b994a4c25d0cfc81dc83b7449ada1804c36,true,삼성전자 전사 보고서 중 DS 관련 ESG 근거
SRC-0002,005930,삼성전자,company_report,Samsung Electronics Sustainability Report 2024,2024,,Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2024_ENG.pdf,official_domain,7d1ebb916e76a93d4f9e8d3aed363b994a4c25d0cfc81dc83b7449ada1804c36,true,삼성전자 연결 기준 ESG 근거
SRC-0004,000660,SK하이닉스,company_report,SK hynix Sustainability Report 2024,2024,,SK2024_eng.pdf,https://www.skhynix.com/sustainability/UI-FR-SA1601/,official_domain,5f47b4463e796f59798471c63caab5fe76018d6a9f48a3bd4ef6d4487d62d638,true,"raw 원문 SK2024_eng.pdf의 실제 SHA-256으로 교체(기존 값은 존재하지 않는 html 파일을 가리키던 오류였음). URL은 SK하이닉스 공식 자료실(Reports & Policies) 목록 페이지이며, 브라우저로 접속해 2024년 ENG PDF 다운로드 링크가 실제 게시되어 있음을 확인함"
SRC-0011,005930,삼성전자,company_report,Samsung Electronics Sustainability Report 2025,2025,,Samsung_Electronics_Sustainability_Report_2025_ENG.pdf,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2025_ENG.pdf,official_domain,d33f399a116a37d1c0d3ebdb3bc70aa34714cb4e7f532a4eaf8fc1fa3a037665,true,공식 URL 존재 확인(WebFetch 응답: 유효 PDF, 용량 초과로 본문은 미열람이나 파일 존재 자체는 확인됨); raw 파일 SHA-256은 로컬 PDF 재계산값과 일치
SRC-0012,005930,삼성전자,company_report,Samsung Electronics Sustainability Report 2026,2026,,Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,official_domain,3b1ea7768d8198a7a92efa82a46475420334d3f828c825571f829e054b567e99,true,공식 URL 접속 확인(WebFetch로 유효 PDF·89페이지 확인, extraction_manifest.csv의 page_count=89와 일치); raw 파일 SHA-256 일치
SRC-0013,000660,SK하이닉스,company_report,SK hynix Sustainability Report 2025,2025,,SK2025_eng.pdf,https://www.skhynix.com/sustainability/UI-FR-SA1601/,official_domain,33aa0eb1543649449198386d8721d4734f0f5b020f4da0b2fc53bdc9057c3362,true,SK하이닉스 공식 자료실 목록 페이지(2025년 ENG PDF 다운로드 링크 실재 확인); raw 파일 SHA-256 일치
SRC-0014,000660,SK하이닉스,company_report,SK hynix Sustainability Report 2026,2026,,SK2026_eng.pdf,https://www.skhynix.com/sustainability/UI-FR-SA1601/,official_domain,918b4004d2c8260f516a9f7c57a1f593ac49593b144e4d89c73eb65ab4966585,true,SK하이닉스 공식 자료실 목록 페이지(2026년 ENG PDF 다운로드 링크 실재 확인); raw 파일 SHA-256 일치
SRC-0006,005930,원자력안전위원회,government,삼성전자 기흥사업장 방사선피폭사건 조사결과 및 조치계획 보도자료,2024,201,nssc_201_samsung_radiation.pdf,https://www.nssc.go.kr/attach/namo/files/000002/20240926174645693_1E891JFD.pdf,official_domain,f2c9bc122381908b1b5524f7259ed75b92f9e98f99717630e1ce486a5ea2dea8,true,원안위 제201회 회의 삼성전자 기흥사업장 방사선 피폭 조사·처분 자료
SRC-0008,000660,고용노동부,government,반도체 제조업 25개소 기획 점검 보도자료,2026,19573,moel_19573_skhynix_fluorine_inspection.pdf,https://www.moel.go.kr/news/enews/report/enewsView.do?news_seq=19573,official_domain,b8b3d8d455d3c6a4124b6903cd964046896d2c659f7c681fea4d9f6169c2f626,true,"고용노동부 반도체 제조업 25개소 집중 점검 착수 보도자료. 첨부파일이 html이 아닌 실제 pdf(""260626_보도참고_반복 불소 누출 사고...집중 점검 착수.pdf"")로 확인되어 file_name·content_hash를 pdf 기준으로 정정(직접 다운로드 URL: moel.go.kr/common/downloadFile.do?file_seq=20260602095&bbs_seq=19573&bbs_id=12&file_ext=pdf)"
SRC-0010,005930,개인정보보호위원회,regulator,개인정보보호위원회 의결서,2023,8994,pipc_8994_samsung_privacy.pdf,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=8994,official_domain,bd1952f6febc888ff3e766dce657b2b4088e892f0c7d84039c597171b5b49e59,true,"개인정보위 삼성전자 개인정보 보호법 위반 제재 보도자료(2023-06-28 의결, 첨부파일 ""230629 (조간) 개인정보 보호법을 위반한 삼성전자(주) 등 2개 사업자 제재(조사2과)FN.pdf""). file_name을 pdf 기준으로 정정"
