date,index_id,close,return,source_url,collected_at
2023-07-21,SOX,3698.85,,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-07-24,SOX,3692.32,-0.001765,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-07-25,SOX,3755.27,0.017049,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-07-26,SOX,3699.37,-0.014886,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-07-27,SOX,3768.27,0.018625,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-07-28,SOX,3851.76,0.022156,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-07-31,SOX,3861.63,0.002562,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-01,SOX,3858.21,-0.000886,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-02,SOX,3711.6,-0.037999,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-03,SOX,3708.08,-0.000948,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-04,SOX,3699.2,-0.002395,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-07,SOX,3739.41,0.01087,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-08,SOX,3679.42,-0.016043,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-09,SOX,3610.48,-0.018737,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-10,SOX,3597.02,-0.003728,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-11,SOX,3514.55,-0.022927,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-14,SOX,3615.45,0.028709,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-15,SOX,3553.96,-0.017008,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-16,SOX,3480.08,-0.020788,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-17,SOX,3446.35,-0.009692,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-18,SOX,3462.74,0.004756,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-21,SOX,3560.74,0.028301,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-22,SOX,3527.69,-0.009282,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-23,SOX,3602.01,0.021068,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-24,SOX,3481.3,-0.033512,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-25,SOX,3495.65,0.004122,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-28,SOX,3537.87,0.012078,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-29,SOX,3629.57,0.02592,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-30,SOX,3643.92,0.003954,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-08-31,SOX,3670.93,0.007412,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-01,SOX,3682.84,0.003244,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-05,SOX,3683.79,0.000258,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-06,SOX,3654.46,-0.007962,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-07,SOX,3582.11,-0.019798,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-08,SOX,3565.99,-0.0045,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-11,SOX,3569.23,0.000909,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-12,SOX,3541.09,-0.007884,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-13,SOX,3560.46,0.00547,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-14,SOX,3584.23,0.006676,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-15,SOX,3476.39,-0.030087,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-18,SOX,3492.47,0.004626,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
2023-09-19,SOX,3459.02,-0.009578,https://finance.yahoo.com/quote/%5ESOX,2026-07-20T21:56:17+09:00
