source_id,company_name,source_type,document_title,publication_year,file_name,url,reviewed,note
SRC-0001,삼성전자,company_report,삼성전자 DS 지속가능경영보고서,2024,samsung_ds_sustainability_2024.pdf,https://www.samsung.com/global/ir/sustainability/sustainability-report/,true,DS사업부 온실가스/용수/폐기물/안전보건 정량 수치 수집
SRC-0002,삼성전자,company_report,삼성전자 지속가능경영보고서,2024,samsung_sustainability_2024.pdf,https://www.samsung.com/global/ir/sustainability/sustainability-report/,true,삼성전자 전사 협력사 ESG 실사 수치 수집
SRC-0003,삼성전자,company_disclosure,삼성전자 2023년 사업보고서,2024,samsung_annual_report_2023.pdf,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000000,true,DART 정기공시 이사회 구성 및 사외이사 비율 수집
SRC-0004,SK하이닉스,company_report,SK하이닉스 지속가능경영보고서,2024,skhynix_sustainability_2024.pdf,https://www.skhynix.com/sustainability/report/,true,반도체 온실가스/용수/폐기물/안전보건/책임광물 정량 수치 수집
SRC-0005,SK하이닉스,company_disclosure,SK하이닉스 2023년 사업보고서,2024,skhynix_annual_report_2023.pdf,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000000,true,DART 정기공시 이사회 구성 및 사외이사 비율 수집
SRC-0006,원자력안전위원회,government,삼성전자 기흥사업장 방사선피폭사건 조사결과 및 조치계획 보도자료,2024,nssc_samsung_briefing_2024.pdf,https://www.nssc.go.kr/nssc/notice/press.do?mode=view&articleNo=55734,true,원안위 제201회 회의 방사선 피폭 조사결과 및 과태료 1050만원 부과 확인
SRC-0007,환경부,government,유해화학물질 관리 행정처분 공고,2023,me_chemical_leak_2023.pdf,https://www.me.go.kr/home/web/board/read.do?boardMasterId=1&boardId=1620000,true,화성사업장 유해화학물질 과태료/시정명령 확인
SRC-0008,고용노동부,government,반도체 제조업 25개소 기획 점검 보도자료,2026,moel_skhynix_safety_2026.pdf,https://www.moel.go.kr/news/notice/noticeView.do?bbs_seq=20260626,true,SK하이닉스 청주 4캠퍼스 가스누출 관련 집중점검 보도자료 확인
SRC-0009,공정거래위원회,regulator,공정거래위원회 하도급거래 의결서,2023,ftc_skhynix_decision_2023.pdf,https://www.ftc.go.kr/www/selectReportUserView.do?key=10&rpttype=1&report_data_no=10200,true,SK하이닉스 하도급 시정명령 의결서 확인
SRC-0010,개인정보보호위원회,regulator,개인정보보호위원회 의결서,2023,pipc_samsung_decision_2023.pdf,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&nttId=9812,true,삼성전자 정보유출 건 과태료 처분 확인
