company_id,company_name,indicator_id,category,indicator_name,raw_value,raw_unit,period,business_scope,geography,source_type,source_title,source_page,source_url,assurance,scope_mismatch,availability,data_confidence,risk_direction,review_status,note
005930,삼성전자,E01,E,온실가스 배출집약도,12.4,tCO2e/억원,2024,DS,global,company_report,삼성전자 DS 지속가능경영보고서,73,https://www.samsung.com/global/ir/sustainability/sustainability-report/,third_party_assured,false,available,high,higher_is_worse,approved,원문 확인 완료 (DS사업부 온실가스 배출집약도)
005930,삼성전자,E02,E,용수 재이용률,65.2,%,2024,DS,global,company_report,삼성전자 DS 지속가능경영보고서,78,https://www.samsung.com/global/ir/sustainability/sustainability-report/,third_party_assured,false,available,high,higher_is_better,approved,원문 확인 완료 (DS사업부 용수 재활용률)
005930,삼성전자,E03,E,폐기물 재활용률,97.5,%,2024,DS,global,company_report,삼성전자 DS 지속가능경영보고서,82,https://www.samsung.com/global/ir/sustainability/sustainability-report/,third_party_assured,false,available,high,higher_is_better,approved,원문 확인 완료 (DS사업부 폐기물 재활용률)
005930,삼성전자,S01,S,산업재해율(LTIR),0.03,건/백만시간,2024,DS,global,company_report,삼성전자 DS 지속가능경영보고서,91,https://www.samsung.com/global/ir/sustainability/sustainability-report/,third_party_assured,false,available,high,higher_is_worse,approved,원문 확인 완료 (DS사업부 근로자 LTIR)
005930,삼성전자,S02,S,협력사 ESG 현장실사 비율,88.4,%,2024,consolidated,global,company_report,삼성전자 지속가능경영보고서,105,https://www.samsung.com/global/ir/sustainability/sustainability-report/,third_party_assured,true,available,medium,higher_is_better,approved,삼성전자 전사 기준 수치 (scope_mismatch=true)
005930,삼성전자,G01,G,사외이사 비율,66.7,%,2024,consolidated,Korea,company_disclosure,삼성전자 사업보고서,142,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000000,internally_verified,true,available,high,higher_is_better,approved,이사회 사외이사 비율 (전사 지배구조기준 scope_mismatch=true)
000660,SK하이닉스,E01,E,온실가스 배출집약도,15.8,tCO2e/억원,2024,semiconductor,global,company_report,SK하이닉스 지속가능경영보고서,81,https://www.skhynix.com/sustainability/report/,third_party_assured,false,available,high,higher_is_worse,approved,원문 확인 완료 (반도체 온실가스 배출집약도)
000660,SK하이닉스,E02,E,용수 재이용률,61.4,%,2024,semiconductor,global,company_report,SK하이닉스 지속가능경영보고서,85,https://www.skhynix.com/sustainability/report/,third_party_assured,false,available,high,higher_is_better,approved,원문 확인 완료 (용수 재이용률)
000660,SK하이닉스,E03,E,폐기물 재활용률,95.8,%,2024,semiconductor,global,company_report,SK하이닉스 지속가능경영보고서,89,https://www.skhynix.com/sustainability/report/,third_party_assured,false,available,high,higher_is_better,approved,원문 확인 완료 (폐기물 재활용률 ZWTL 인증)
000660,SK하이닉스,S01,S,산업재해율(LTIR),0.05,건/백만시간,2024,semiconductor,global,company_report,SK하이닉스 지속가능경영보고서,98,https://www.skhynix.com/sustainability/report/,third_party_assured,false,available,high,higher_is_worse,approved,원문 확인 완료 (SK하이닉스 LTIR)
000660,SK하이닉스,S02,S,책임광물 제3자 검증률,100.0,%,2024,semiconductor,global,company_report,SK하이닉스 지속가능경영보고서,102,https://www.skhynix.com/sustainability/report/,third_party_assured,false,available,high,higher_is_better,approved,원문 확인 완료 (분쟁광물/책임광물 제동련 검증 100%)
000660,SK하이닉스,G01,G,사외이사 비율,71.4,%,2024,consolidated,Korea,company_disclosure,SK하이닉스 사업보고서,135,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000000,internally_verified,false,available,high,higher_is_better,approved,이사회 사외이사 비율 (7명 중 5명)
