date,company_id,company_name,ticker,open,high,low,close,volume,adjusted_close,currency,source_type,source_url,data_status,note
2023-07-24,000660,SK하이닉스,000660,114100.0,114900.0,112900.0,114000.0,2761991,114000.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-07-25,000660,SK하이닉스,000660,114000.0,114200.0,112200.0,113400.0,2678385,113400.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-07-26,000660,SK하이닉스,000660,116000.0,116100.0,111300.0,113000.0,4995935,113000.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-07-27,000660,SK하이닉스,000660,115000.0,124000.0,114100.0,124000.0,9638980,124000.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-07-28,000660,SK하이닉스,000660,126200.0,129000.0,122000.0,128000.0,8718746,128000.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-07-31,000660,SK하이닉스,000660,128000.0,128500.0,122500.0,123400.0,4623350,123400.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-08-01,000660,SK하이닉스,000660,124000.0,126400.0,120700.0,125100.0,4656047,125100.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-08-02,000660,SK하이닉스,000660,123300.0,124800.0,118700.0,119500.0,3765478,119500.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-08-03,000660,SK하이닉스,000660,119000.0,121300.0,117200.0,120000.0,3498537,120000.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
2023-08-04,000660,SK하이닉스,000660,118300.0,120900.0,118100.0,120100.0,2375384,120100.0,KRW,exchange,https://github.com/FinanceDataReader/FinanceDataReader,reviewed,SK하이닉스 3개년 일별 주가 수집 검수 완료 데이터
